Participants,CrampedRoom,AsymmetricRoom,RingRoom,ForceCoordination,CounterCircuit
1,220,220,160,180,160
2,240,260,160,140,160
3,220,280,120,200,180
4,240,280,140,200,140
5,180,280,160,140,120
6,280,260,180,140,180
7,280,260,160,180,140
8,280,280,180,240,180
9,300,320,120,240,120
10,280,260,200,240,200
11,280,240,140,180,180
12,240,380,160,120,140
13,200,340,100,180,140
14,200,280,200,200,140
15,220,320,200,140,140
16,200,320,160,140,180
17,220,300,120,140,140
18,220,320,120,180,140
19,220,320,140,140,180
20,180,340,120,140,160
