Participants,CrampedRoom,AsymmetricRoom,RingRoom,ForceCoordination,CounterCircuit
1,220,220,160,200,140
2,240,260,120,180,180
3,240,280,180,180,180
4,240,280,140,180,180
5,180,280,180,200,160
6,280,260,120,180,140
7,280,260,160,200,180
8,280,220,140,220,140
9,300,260,160,220,160
10,280,260,200,180,180
11,280,240,140,180,160
12,240,300,160,200,140
13,200,380,140,180,160
14,200,300,180,200,140
15,220,360,200,140,120
16,200,300,160,180,120
17,220,320,160,160,140
18,220,340,140,120,120
19,220,300,180,120,120
20,180,320,160,140,120
